optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l2_lambda,use_pretrained_word2vec,embed_dim,output_mode,key_value_proj_dim,rnn,add_component,multi_output_layers,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.001,32,128,,,0,True,300,,,RNN,True,True,0.8660550458715597,0.876
<class 'torch.optim.adam.Adam'>,0.001,32,128,,,0,True,300,,,RNN,True,False,0.865137614678899,0.906
<class 'torch.optim.adam.Adam'>,0.0005,64,170,,,0,True,300,,,RNN,True,False,0.865137614678899,0.886
<class 'torch.optim.adam.Adam'>,0.0005,64,200,,,0,True,300,,,RNN,False,,0.8642201834862385,0.878
<class 'torch.optim.adam.Adam'>,0.0002,64,200,,,0,True,300,,,RNN,False,,0.8642201834862385,0.878
<class 'torch.optim.adam.Adam'>,0.0002,64,190,,,0,True,300,,,RNN,False,,0.8642201834862385,0.902
<class 'torch.optim.adam.Adam'>,0.0005,64,128,,,0,True,300,,,RNN,True,False,0.863302752293578,0.884
<class 'torch.optim.adam.Adam'>,0.0002,32,128,,,0,True,300,,,RNN,True,False,0.8623853211009175,0.874
<class 'torch.optim.adam.Adam'>,0.0005,64,190,,,0,True,300,,,RNN,False,,0.8614678899082568,0.868
<class 'torch.optim.adam.Adam'>,0.0002,64,200,,,0,True,300,,,RNN,True,False,0.8614678899082568,0.894
<class 'torch.optim.adam.Adam'>,0.0005,32,150,,,0,True,300,,,RNN,False,,0.8605504587155963,0.856
<class 'torch.optim.adam.Adam'>,0.0002,64,170,,,0,True,300,,,RNN,False,,0.8605504587155963,0.888
<class 'torch.optim.adam.Adam'>,0.001,32,170,,,0,True,300,,,RNN,True,True,0.8587155963302753,0.904
<class 'torch.optim.adam.Adam'>,0.0002,64,150,,,0,True,300,,,RNN,True,False,0.8587155963302753,0.882
<class 'torch.optim.adam.Adam'>,0.0002,32,128,,,0,True,300,,,RNN,False,,0.8587155963302753,0.88
<class 'torch.optim.adam.Adam'>,0.0002,32,170,,,0,True,300,,,RNN,False,,0.8587155963302753,0.87
<class 'torch.optim.adam.Adam'>,0.0005,32,190,,,0,True,300,,,RNN,False,,0.8587155963302753,0.878
<class 'torch.optim.adam.Adam'>,0.0005,32,200,,,0,True,300,,,RNN,False,,0.8559633027522936,0.888
<class 'torch.optim.adam.Adam'>,0.001,64,170,,,0,True,300,,,RNN,True,True,0.8559633027522936,0.858
<class 'torch.optim.adam.Adam'>,0.001,64,170,,,0,True,300,,,RNN,False,,0.8559633027522936,0.888
<class 'torch.optim.adam.Adam'>,0.0002,32,170,,,0,True,300,,,RNN,True,False,0.8559633027522936,0.876
<class 'torch.optim.adam.Adam'>,0.0002,64,190,,,0,True,300,,,RNN,True,False,0.8550458715596331,0.876
<class 'torch.optim.adam.Adam'>,0.0002,64,170,,,0,True,300,,,RNN,True,False,0.8541284403669724,0.88
<class 'torch.optim.adam.Adam'>,0.0002,32,190,,,0,True,300,,,RNN,False,,0.8541284403669724,0.872
<class 'torch.optim.adam.Adam'>,0.0005,64,128,,,0,True,300,,,RNN,False,,0.8541284403669724,0.862
<class 'torch.optim.adam.Adam'>,0.001,32,170,,,0,True,300,,,RNN,False,,0.8541284403669724,0.888
<class 'torch.optim.adam.Adam'>,0.0002,64,128,,,0,True,300,,,RNN,True,False,0.8532110091743119,0.872
<class 'torch.optim.adam.Adam'>,0.0005,64,190,,,0,True,300,,,RNN,True,False,0.8522935779816514,0.902
<class 'torch.optim.adam.Adam'>,0.0005,32,150,,,0,True,300,,,RNN,True,True,0.8513761467889909,0.882
<class 'torch.optim.adam.Adam'>,0.001,32,128,,,0,True,300,,,RNN,False,,0.8504587155963302,0.876
<class 'torch.optim.adam.Adam'>,0.0005,64,128,,,0,True,300,,,RNN,True,True,0.8504587155963302,0.872
<class 'torch.optim.adam.Adam'>,0.001,32,150,,,0,True,300,,,RNN,True,True,0.8504587155963302,0.876
<class 'torch.optim.adam.Adam'>,0.001,64,200,,,0,True,300,,,RNN,True,True,0.8504587155963302,0.884
<class 'torch.optim.adam.Adam'>,0.001,32,200,,,0,True,300,,,RNN,True,True,0.8495412844036697,0.858
<class 'torch.optim.adam.Adam'>,0.0005,64,150,,,0,True,300,,,RNN,False,,0.8495412844036697,0.878
<class 'torch.optim.adam.Adam'>,0.0002,64,128,,,0,True,300,,,RNN,False,,0.846788990825688,0.87
<class 'torch.optim.adam.Adam'>,0.0005,32,190,,,0,True,300,,,RNN,True,True,0.8458715596330275,0.844
<class 'torch.optim.adam.Adam'>,0.0002,32,150,,,0,True,300,,,RNN,False,,0.8458715596330275,0.838
<class 'torch.optim.adam.Adam'>,0.0005,32,170,,,0,True,300,,,RNN,True,True,0.8458715596330275,0.856
<class 'torch.optim.adam.Adam'>,0.001,64,150,,,0,True,300,,,RNN,False,,0.844954128440367,0.874
<class 'torch.optim.adam.Adam'>,0.0005,32,128,,,0,True,300,,,RNN,False,,0.8440366972477065,0.876
<class 'torch.optim.adam.Adam'>,0.0002,64,150,,,0,True,300,,,RNN,False,,0.8431192660550458,0.842
<class 'torch.optim.adam.Adam'>,0.001,32,190,,,0,True,300,,,RNN,True,True,0.8422018348623853,0.836
<class 'torch.optim.adam.Adam'>,0.001,64,190,,,0,True,300,,,RNN,True,True,0.8422018348623853,0.876
<class 'torch.optim.adam.Adam'>,0.001,64,128,,,0,True,300,,,RNN,False,,0.8403669724770643,0.872
<class 'torch.optim.adam.Adam'>,0.0002,32,128,,,0,True,300,,,RNN,True,True,0.8366972477064221,0.846
<class 'torch.optim.adam.Adam'>,0.0005,64,190,,,0,True,300,,,RNN,True,True,0.8366972477064221,0.854
<class 'torch.optim.adam.Adam'>,0.0005,32,200,,,0,True,300,,,RNN,True,True,0.8339449541284404,0.87
<class 'torch.optim.adam.Adam'>,0.0002,64,128,,,0,True,300,,,RNN,True,True,0.8339449541284404,0.862
<class 'torch.optim.adam.Adam'>,0.001,32,150,,,0,True,300,,,RNN,False,,0.8330275229357799,0.872
<class 'torch.optim.adam.Adam'>,0.001,64,200,,,0,True,300,,,RNN,False,,0.8330275229357799,0.88
<class 'torch.optim.adam.Adam'>,0.0002,32,200,,,0,True,300,,,RNN,True,True,0.8330275229357799,0.846
<class 'torch.optim.adam.Adam'>,0.0005,64,170,,,0,True,300,,,RNN,True,True,0.8321100917431192,0.85
<class 'torch.optim.adam.Adam'>,0.001,32,190,,,0,True,300,,,RNN,False,,0.828440366972477,0.872
<class 'torch.optim.adam.Adam'>,0.0002,32,190,,,0,True,300,,,RNN,True,True,0.8275229357798165,0.85
<class 'torch.optim.adam.Adam'>,0.0005,64,150,,,0,True,300,,,RNN,True,True,0.8220183486238533,0.854
<class 'torch.optim.adam.Adam'>,0.0002,64,150,,,0,True,300,,,RNN,True,True,0.8220183486238533,0.84
<class 'torch.optim.adam.Adam'>,0.0005,64,200,,,0,True,300,,,RNN,True,True,0.8201834862385321,0.832
<class 'torch.optim.adam.Adam'>,0.0002,64,200,,,0,True,300,,,RNN,True,True,0.8174311926605504,0.816
<class 'torch.optim.adam.Adam'>,0.0002,32,150,,,0,True,300,,,RNN,True,True,0.8128440366972477,0.83
<class 'torch.optim.adam.Adam'>,0.001,64,190,,,0,True,300,,,RNN,False,,0.8064220183486238,0.876
<class 'torch.optim.adam.Adam'>,0.0002,64,190,,,0,True,300,,,RNN,True,True,0.7908256880733945,0.822
<class 'torch.optim.adam.Adam'>,0.001,32,200,,,0,True,300,,,RNN,False,,0.755045871559633,0.798
<class 'torch.optim.adam.Adam'>,0.0002,32,170,,,0,True,300,,,RNN,True,True,0.7513761467889908,0.786
<class 'torch.optim.adam.Adam'>,0.0002,64,170,,,0,True,300,,,RNN,True,True,0.7293577981651376,0.742
