optimizer,lr,batch_size,hidden_dim,valid_acc,test_acc
<class 'torch.optim.adamw.AdamW'>,0.0005,16,120,0.7229357798165138,0.786
<class 'torch.optim.adam.Adam'>,0.001,16,70,0.7220183486238532,0.778
<class 'torch.optim.adam.Adam'>,0.001,32,180,0.7220183486238532,0.786
<class 'torch.optim.adam.Adam'>,0.0005,32,170,0.7220183486238532,0.794
<class 'torch.optim.adamw.AdamW'>,0.0002,16,150,0.7220183486238532,0.794
<class 'torch.optim.adam.Adam'>,0.0002,32,200,0.7211009174311926,0.786
<class 'torch.optim.adagrad.Adagrad'>,0.025,32,170,0.7211009174311926,0.784
<class 'torch.optim.adam.Adam'>,0.001,64,100,0.7211009174311926,0.818
<class 'torch.optim.adamw.AdamW'>,0.0005,32,170,0.7211009174311926,0.802
<class 'torch.optim.adamw.AdamW'>,0.0005,16,170,0.7211009174311926,0.79
<class 'torch.optim.adamw.AdamW'>,0.0005,32,160,0.7211009174311926,0.81
<class 'torch.optim.adamw.AdamW'>,0.002,32,80,0.7201834862385321,0.772
<class 'torch.optim.adam.Adam'>,0.0005,64,120,0.7201834862385321,0.782
<class 'torch.optim.adamw.AdamW'>,0.0005,32,90,0.7201834862385321,0.812
<class 'torch.optim.adam.Adam'>,0.001,16,140,0.7201834862385321,0.8
<class 'torch.optim.adam.Adam'>,0.0002,32,256,0.7201834862385321,0.806
<class 'torch.optim.adam.Adam'>,0.0005,64,150,0.7192660550458716,0.812
<class 'torch.optim.adamw.AdamW'>,0.0005,32,110,0.7192660550458716,0.802
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,256,0.7192660550458716,0.792
<class 'torch.optim.adamw.AdamW'>,0.001,64,70,0.7192660550458716,0.792
<class 'torch.optim.adamw.AdamW'>,0.001,64,180,0.718348623853211,0.792
<class 'torch.optim.adam.Adam'>,0.001,128,170,0.718348623853211,0.802
<class 'torch.optim.adam.Adam'>,0.0005,16,140,0.718348623853211,0.786
<class 'torch.optim.adam.Adam'>,0.0005,64,256,0.718348623853211,0.808
<class 'torch.optim.adamw.AdamW'>,0.001,64,90,0.718348623853211,0.79
<class 'torch.optim.adam.Adam'>,0.0005,32,128,0.718348623853211,0.784
<class 'torch.optim.adamw.AdamW'>,0.0002,16,170,0.7174311926605504,0.778
<class 'torch.optim.adam.Adam'>,0.0005,32,110,0.7174311926605504,0.804
<class 'torch.optim.adamw.AdamW'>,0.0005,32,150,0.7174311926605504,0.8
<class 'torch.optim.adam.Adam'>,0.0005,64,180,0.7174311926605504,0.808
<class 'torch.optim.adamw.AdamW'>,0.001,128,128,0.7174311926605504,0.782
<class 'torch.optim.adam.Adam'>,0.001,16,120,0.7174311926605504,0.792
<class 'torch.optim.adamw.AdamW'>,0.0005,32,256,0.7174311926605504,0.814
<class 'torch.optim.adamw.AdamW'>,0.002,128,100,0.7165137614678899,0.794
<class 'torch.optim.adam.Adam'>,0.002,64,100,0.7165137614678899,0.78
<class 'torch.optim.adam.Adam'>,0.001,32,90,0.7165137614678899,0.806
<class 'torch.optim.adamw.AdamW'>,0.001,32,120,0.7165137614678899,0.806
<class 'torch.optim.adam.Adam'>,0.002,16,60,0.7165137614678899,0.796
<class 'torch.optim.adam.Adam'>,0.0005,64,200,0.7165137614678899,0.786
<class 'torch.optim.adam.Adam'>,0.001,32,128,0.7155963302752294,0.776
<class 'torch.optim.adam.Adam'>,0.002,16,160,0.7155963302752294,0.79
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,140,0.7155963302752294,0.788
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,128,0.7146788990825688,0.778
<class 'torch.optim.adamw.AdamW'>,0.002,64,150,0.7146788990825688,0.774
<class 'torch.optim.adamw.AdamW'>,0.0005,16,256,0.7146788990825688,0.714
<class 'torch.optim.adam.Adam'>,0.0005,16,256,0.7137614678899082,0.794
<class 'torch.optim.adamw.AdamW'>,0.002,128,70,0.7137614678899082,0.77
<class 'torch.optim.adamw.AdamW'>,0.001,16,120,0.7137614678899082,0.762
<class 'torch.optim.adamw.AdamW'>,0.001,64,170,0.7137614678899082,0.778
<class 'torch.optim.adamw.AdamW'>,0.001,32,170,0.7137614678899082,0.782
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,120,0.7137614678899082,0.78
<class 'torch.optim.adamw.AdamW'>,0.0002,32,256,0.7128440366972477,0.798
<class 'torch.optim.adam.Adam'>,0.001,32,120,0.7128440366972477,0.78
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,110,0.7128440366972477,0.82
<class 'torch.optim.adam.Adam'>,0.001,32,170,0.7119266055045872,0.81
<class 'torch.optim.adamw.AdamW'>,0.001,32,100,0.7119266055045872,0.796
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,70,0.7119266055045872,0.786
<class 'torch.optim.adamw.AdamW'>,0.0005,128,180,0.7110091743119266,0.8
<class 'torch.optim.adamw.AdamW'>,0.0005,128,256,0.7110091743119266,0.786
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,170,0.7110091743119266,0.786
<class 'torch.optim.adamw.AdamW'>,0.0005,32,100,0.7110091743119266,0.826
<class 'torch.optim.adam.Adam'>,0.0025,64,128,0.710091743119266,0.79
<class 'torch.optim.adamw.AdamW'>,0.0005,32,180,0.710091743119266,0.788
<class 'torch.optim.adam.Adam'>,0.005,32,60,0.7091743119266055,0.766
<class 'torch.optim.adamw.AdamW'>,0.0005,16,180,0.7091743119266055,0.692
<class 'torch.optim.adam.Adam'>,0.001,32,70,0.7091743119266055,0.776
<class 'torch.optim.adamw.AdamW'>,0.002,32,120,0.7091743119266055,0.796
<class 'torch.optim.adamw.AdamW'>,0.0005,64,256,0.7091743119266055,0.786
<class 'torch.optim.adam.Adam'>,0.0025,128,90,0.7091743119266055,0.8
<class 'torch.optim.adamw.AdamW'>,0.0025,64,128,0.7091743119266055,0.788
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,160,0.708256880733945,0.748
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,180,0.708256880733945,0.818
<class 'torch.optim.adamw.AdamW'>,0.0025,32,70,0.708256880733945,0.7
<class 'torch.optim.adam.Adam'>,0.0005,32,100,0.708256880733945,0.818
<class 'torch.optim.adamw.AdamW'>,0.001,64,128,0.708256880733945,0.774
<class 'torch.optim.adamw.AdamW'>,0.0002,16,180,0.708256880733945,0.806
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,256,0.708256880733945,0.806
<class 'torch.optim.adam.Adam'>,0.001,64,90,0.708256880733945,0.818
<class 'torch.optim.adam.Adam'>,0.001,128,160,0.708256880733945,0.782
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,140,0.708256880733945,0.77
<class 'torch.optim.adamw.AdamW'>,0.001,32,160,0.708256880733945,0.802
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,200,0.7073394495412844,0.776
<class 'torch.optim.adamw.AdamW'>,0.002,128,160,0.7064220183486238,0.748
<class 'torch.optim.adamw.AdamW'>,0.0025,128,70,0.7064220183486238,0.766
<class 'torch.optim.adamw.AdamW'>,0.0002,16,140,0.7064220183486238,0.776
<class 'torch.optim.adam.Adam'>,0.0005,128,180,0.7064220183486238,0.8
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,110,0.7064220183486238,0.814
<class 'torch.optim.adamw.AdamW'>,0.0005,16,100,0.7064220183486238,0.806
<class 'torch.optim.adam.Adam'>,0.001,16,60,0.7064220183486238,0.772
<class 'torch.optim.adamw.AdamW'>,0.001,64,80,0.7064220183486238,0.782
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,160,0.7055045871559633,0.79
<class 'torch.optim.adam.Adam'>,0.0002,16,150,0.7055045871559633,0.774
<class 'torch.optim.adamw.AdamW'>,0.0002,16,128,0.7055045871559633,0.778
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,256,0.7055045871559633,0.794
<class 'torch.optim.adamw.AdamW'>,0.001,32,200,0.7055045871559633,0.776
<class 'torch.optim.adam.Adam'>,0.0002,16,128,0.7055045871559633,0.782
<class 'torch.optim.adam.Adam'>,0.001,32,100,0.7045871559633028,0.792
<class 'torch.optim.adamw.AdamW'>,0.0025,128,90,0.7045871559633028,0.816
<class 'torch.optim.adamw.AdamW'>,0.0025,32,80,0.7045871559633028,0.746
<class 'torch.optim.adam.Adam'>,0.002,64,128,0.7045871559633028,0.77
<class 'torch.optim.adam.Adam'>,0.0002,32,170,0.7045871559633028,0.796
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,170,0.7045871559633028,0.794
<class 'torch.optim.adamw.AdamW'>,0.001,32,140,0.7036697247706422,0.81
<class 'torch.optim.adam.Adam'>,0.0002,16,140,0.7036697247706422,0.782
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,100,0.7036697247706422,0.788
<class 'torch.optim.adam.Adam'>,0.002,32,60,0.7036697247706422,0.77
<class 'torch.optim.adamw.AdamW'>,0.0005,16,128,0.7036697247706422,0.776
<class 'torch.optim.adamw.AdamW'>,0.001,128,150,0.7036697247706422,0.802
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,170,0.7036697247706422,0.78
<class 'torch.optim.adam.Adam'>,0.002,128,170,0.7027522935779816,0.792
<class 'torch.optim.adamw.AdamW'>,0.002,64,70,0.7027522935779816,0.794
<class 'torch.optim.adamw.AdamW'>,0.002,128,90,0.7027522935779816,0.808
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,150,0.7027522935779816,0.774
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,140,0.7027522935779816,0.764
<class 'torch.optim.adam.Adam'>,0.001,16,90,0.7027522935779816,0.788
<class 'torch.optim.adam.Adam'>,0.001,64,170,0.7027522935779816,0.79
<class 'torch.optim.adam.Adam'>,0.0001,16,256,0.7027522935779816,0.778
<class 'torch.optim.adam.Adam'>,0.0005,16,150,0.7018348623853211,0.802
<class 'torch.optim.adamw.AdamW'>,0.0001,16,256,0.7018348623853211,0.778
<class 'torch.optim.adagrad.Adagrad'>,0.0025,32,256,0.7018348623853211,0.798
<class 'torch.optim.adamw.AdamW'>,0.001,64,120,0.7018348623853211,0.788
<class 'torch.optim.adam.Adam'>,0.001,32,140,0.7018348623853211,0.774
<class 'torch.optim.adamw.AdamW'>,0.0025,64,70,0.7018348623853211,0.81
<class 'torch.optim.adam.Adam'>,0.0005,16,110,0.7009174311926606,0.768
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,170,0.7009174311926606,0.792
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,120,0.7009174311926606,0.796
<class 'torch.optim.adam.Adam'>,0.001,128,128,0.7009174311926606,0.772
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,256,0.7009174311926606,0.784
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,150,0.7,0.794
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,120,0.7,0.778
<class 'torch.optim.adamw.AdamW'>,0.0005,64,170,0.7,0.75
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,90,0.7,0.784
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,120,0.7,0.792
<class 'torch.optim.adam.Adam'>,0.0002,16,120,0.7,0.814
<class 'torch.optim.adam.Adam'>,0.0005,64,128,0.7,0.766
<class 'torch.optim.adam.Adam'>,0.001,128,256,0.6990825688073394,0.786
<class 'torch.optim.adamw.AdamW'>,0.001,128,160,0.6990825688073394,0.784
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,90,0.6990825688073394,0.778
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,128,0.6990825688073394,0.778
<class 'torch.optim.adam.Adam'>,0.002,64,170,0.6981651376146789,0.77
<class 'torch.optim.adamw.AdamW'>,0.001,128,110,0.6981651376146789,0.798
<class 'torch.optim.adam.Adam'>,0.002,128,70,0.6981651376146789,0.76
<class 'torch.optim.adam.Adam'>,0.001,64,128,0.6972477064220184,0.772
<class 'torch.optim.adam.Adam'>,0.0002,32,160,0.6972477064220184,0.79
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,0.6972477064220184,0.81
<class 'torch.optim.adamw.AdamW'>,0.0005,64,128,0.6972477064220184,0.768
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,60,0.6972477064220184,0.774
<class 'torch.optim.adamw.AdamW'>,0.002,64,170,0.6972477064220184,0.79
<class 'torch.optim.adamw.AdamW'>,0.001,64,200,0.6972477064220184,0.784
<class 'torch.optim.adamw.AdamW'>,0.001,16,90,0.6972477064220184,0.794
<class 'torch.optim.adamw.AdamW'>,0.0005,64,140,0.6972477064220184,0.78
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,80,0.6963302752293578,0.814
<class 'torch.optim.adamw.AdamW'>,0.0002,32,170,0.6963302752293578,0.778
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,140,0.6963302752293578,0.774
<class 'torch.optim.adamw.AdamW'>,0.0005,128,170,0.6963302752293578,0.76
<class 'torch.optim.adagrad.Adagrad'>,0.0025,16,256,0.6954128440366972,0.794
<class 'torch.optim.adamw.AdamW'>,0.0001,16,170,0.6954128440366972,0.76
<class 'torch.optim.adam.Adam'>,0.001,32,200,0.6954128440366972,0.77
<class 'torch.optim.adam.Adam'>,0.0002,16,110,0.6954128440366972,0.788
<class 'torch.optim.adamw.AdamW'>,0.0002,32,180,0.6954128440366972,0.772
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,200,0.6954128440366972,0.788
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,80,0.6954128440366972,0.772
<class 'torch.optim.adam.Adam'>,0.0005,64,160,0.6954128440366972,0.76
<class 'torch.optim.adam.Adam'>,0.0001,16,170,0.6954128440366972,0.76
<class 'torch.optim.adagrad.Adagrad'>,0.002,16,256,0.6954128440366972,0.784
<class 'torch.optim.adam.Adam'>,0.001,64,150,0.6944954128440367,0.816
<class 'torch.optim.adam.Adam'>,0.001,16,150,0.6944954128440367,0.766
<class 'torch.optim.adam.Adam'>,0.0005,128,170,0.6944954128440367,0.762
<class 'torch.optim.adam.Adam'>,0.002,32,120,0.6944954128440367,0.75
<class 'torch.optim.adamw.AdamW'>,0.0002,32,160,0.6944954128440367,0.79
<class 'torch.optim.adamw.AdamW'>,0.002,64,160,0.6944954128440367,0.798
<class 'torch.optim.adamw.AdamW'>,0.002,128,110,0.6944954128440367,0.782
<class 'torch.optim.adamw.AdamW'>,0.0005,64,100,0.6935779816513762,0.784
<class 'torch.optim.adamw.AdamW'>,0.002,16,60,0.6935779816513762,0.742
<class 'torch.optim.adamw.AdamW'>,0.0005,16,110,0.6935779816513762,0.802
<class 'torch.optim.adagrad.Adagrad'>,0.0025,16,200,0.6935779816513762,0.768
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,160,0.6935779816513762,0.792
<class 'torch.optim.adam.Adam'>,0.0005,16,120,0.6935779816513762,0.798
<class 'torch.optim.adagrad.Adagrad'>,0.0025,16,170,0.6935779816513762,0.738
<class 'torch.optim.adam.Adam'>,0.001,16,170,0.6926605504587156,0.688
<class 'torch.optim.adamw.AdamW'>,0.0005,64,150,0.6926605504587156,0.766
<class 'torch.optim.adagrad.Adagrad'>,0.025,32,110,0.6926605504587156,0.782
<class 'torch.optim.adamw.AdamW'>,0.001,16,180,0.6926605504587156,0.788
<class 'torch.optim.adamw.AdamW'>,0.0002,16,110,0.6926605504587156,0.788
<class 'torch.optim.adam.Adam'>,0.0025,32,70,0.691743119266055,0.756
<class 'torch.optim.adam.Adam'>,0.0005,128,256,0.6908256880733945,0.802
<class 'torch.optim.adamw.AdamW'>,0.0025,32,120,0.6908256880733945,0.742
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,200,0.6908256880733945,0.776
<class 'torch.optim.adamw.AdamW'>,0.001,16,60,0.689908256880734,0.762
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,80,0.689908256880734,0.752
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,180,0.689908256880734,0.762
<class 'torch.optim.adam.Adam'>,0.0025,128,70,0.689908256880734,0.766
<class 'torch.optim.adamw.AdamW'>,0.0025,128,128,0.689908256880734,0.764
<class 'torch.optim.adam.Adam'>,0.0025,64,110,0.689908256880734,0.812
<class 'torch.optim.adam.Adam'>,0.0025,32,90,0.689908256880734,0.808
<class 'torch.optim.adamw.AdamW'>,0.0005,32,120,0.689908256880734,0.772
<class 'torch.optim.adamw.AdamW'>,0.001,128,100,0.6889908256880733,0.784
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,100,0.6889908256880733,0.79
<class 'torch.optim.adamw.AdamW'>,0.0001,32,256,0.6889908256880733,0.788
<class 'torch.optim.adagrad.Adagrad'>,0.002,32,256,0.6889908256880733,0.782
<class 'torch.optim.adam.Adam'>,0.0001,32,256,0.6889908256880733,0.79
<class 'torch.optim.adamw.AdamW'>,0.0025,32,90,0.6889908256880733,0.756
<class 'torch.optim.adamw.AdamW'>,0.0025,64,80,0.6889908256880733,0.772
<class 'torch.optim.adamw.AdamW'>,0.001,16,140,0.6880733944954128,0.738
<class 'torch.optim.adam.Adam'>,0.001,64,140,0.6880733944954128,0.802
<class 'torch.optim.adam.Adam'>,0.0002,64,256,0.6880733944954128,0.776
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,110,0.6880733944954128,0.782
<class 'torch.optim.adam.Adam'>,0.0025,64,120,0.6880733944954128,0.762
<class 'torch.optim.adamw.AdamW'>,0.0002,64,256,0.6871559633027523,0.782
<class 'torch.optim.adamw.AdamW'>,0.002,32,100,0.6871559633027523,0.814
<class 'torch.optim.adamw.AdamW'>,0.001,16,110,0.6871559633027523,0.78
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,80,0.6871559633027523,0.77
<class 'torch.optim.adagrad.Adagrad'>,0.0025,64,256,0.6862385321100918,0.78
<class 'torch.optim.adam.Adam'>,0.002,16,140,0.6862385321100918,0.744
<class 'torch.optim.adam.Adam'>,0.0002,16,100,0.6862385321100918,0.786
<class 'torch.optim.adamw.AdamW'>,0.001,64,160,0.6862385321100918,0.776
<class 'torch.optim.adam.Adam'>,0.001,64,200,0.6862385321100918,0.75
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,180,0.6862385321100918,0.794
<class 'torch.optim.adamw.AdamW'>,0.001,128,180,0.6862385321100918,0.784
<class 'torch.optim.adam.Adam'>,0.0002,32,180,0.6862385321100918,0.762
<class 'torch.optim.adam.Adam'>,0.0025,128,160,0.6853211009174311,0.778
<class 'torch.optim.adamw.AdamW'>,0.0005,32,80,0.6853211009174311,0.778
<class 'torch.optim.adamw.AdamW'>,0.0002,16,100,0.6853211009174311,0.78
<class 'torch.optim.adam.Adam'>,0.002,32,100,0.6853211009174311,0.776
<class 'torch.optim.adam.Adam'>,0.002,64,180,0.6853211009174311,0.804
<class 'torch.optim.adamw.AdamW'>,0.0002,32,140,0.6844036697247706,0.746
<class 'torch.optim.adamw.AdamW'>,0.0001,16,200,0.6844036697247706,0.722
<class 'torch.optim.adamw.AdamW'>,0.0005,64,160,0.6844036697247706,0.77
<class 'torch.optim.adamw.AdamW'>,0.0025,64,110,0.6844036697247706,0.798
<class 'torch.optim.adam.Adam'>,0.0002,32,150,0.6844036697247706,0.758
<class 'torch.optim.adam.Adam'>,0.001,64,180,0.6844036697247706,0.79
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,100,0.6844036697247706,0.786
<class 'torch.optim.adam.Adam'>,0.001,16,100,0.6834862385321101,0.794
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,110,0.6834862385321101,0.792
<class 'torch.optim.adagrad.Adagrad'>,0.025,64,80,0.6834862385321101,0.788
<class 'torch.optim.adamw.AdamW'>,0.0005,64,110,0.6834862385321101,0.77
<class 'torch.optim.adamw.AdamW'>,0.0002,32,150,0.6834862385321101,0.758
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,128,0.6834862385321101,0.778
<class 'torch.optim.adam.Adam'>,0.001,64,70,0.6834862385321101,0.75
<class 'torch.optim.adam.Adam'>,0.001,128,180,0.6825688073394496,0.792
<class 'torch.optim.adam.Adam'>,0.001,32,256,0.6825688073394496,0.758
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,100,0.6825688073394496,0.792
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,180,0.6825688073394496,0.784
<class 'torch.optim.adam.Adam'>,0.0025,32,140,0.6825688073394496,0.71
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,128,0.6825688073394496,0.782
<class 'torch.optim.adam.Adam'>,0.0025,128,110,0.6825688073394496,0.776
<class 'torch.optim.adam.Adam'>,0.0005,64,140,0.6825688073394496,0.788
<class 'torch.optim.adamw.AdamW'>,0.001,16,150,0.6825688073394496,0.762
<class 'torch.optim.adagrad.Adagrad'>,0.005,128,256,0.681651376146789,0.782
<class 'torch.optim.adam.Adam'>,0.0001,16,200,0.681651376146789,0.722
<class 'torch.optim.adam.Adam'>,0.002,128,120,0.681651376146789,0.794
<class 'torch.optim.adam.Adam'>,0.001,128,140,0.6807339449541284,0.77
<class 'torch.optim.adam.Adam'>,0.001,64,110,0.6807339449541284,0.758
